volcano_number	name	country	volcanic_region	volcano_type	tectonic_setting	evidence_category	elevation_m	last_eruption_year	longitude	latitude
300221	Vysoky	Russia	Eastern Kamchatka Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Dated	2129	-550	160.765	55.064
300230	Kizimen	Russia	Eastern Kamchatka Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	2334	2013	160.32	55.131
300240	Tolbachik	Russia	Eastern Kamchatka Volcanic Arc	Shield	Subduction zone / Continental crust (> 25 km)	Eruption Observed	3611	2013	160.326	55.832
300241	Udina	Russia	Eastern Kamchatka Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Evidence Credible	2886		160.527	55.758
300242	Zimina	Russia	Eastern Kamchatka Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Evidence Uncertain	3057		160.603	55.862
300250	Bezymianny	Russia	Eastern Kamchatka Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	2882	2025	160.595	55.972
300251	Kamen	Russia	Eastern Kamchatka Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Credible	4585		160.593	56.02
300260	Klyuchevskoy	Russia	Eastern Kamchatka Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	4754	2025	160.642	56.056
300261	Ushkovsky	Russia	Eastern Kamchatka Volcanic Arc	Compound	Subduction zone / Continental crust (> 25 km)	Eruption Observed	3943	1890	160.509	56.113
300270	Sheveluch	Russia	Eastern Kamchatka Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	3283	2026	161.36	56.653
300271	Piip	Russia	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Eruption Dated	-300	-5050	167.33	55.42
300272	Khangar	Russia	Central Kamchatka Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Dated	1967	1500	157.407	54.761
300273	Cherpuk Group	Russia	Central Kamchatka Volcanic Arc	Pyroclastic cone(s)	Subduction zone / Continental crust (> 25 km)	Eruption Dated	1868	-4550	157.47	55.55
300280	Ichinsky	Russia	Central Kamchatka Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	3596	1740	157.718	55.678
300360	Bolshoi-Kekuknaysky	Russia	Central Kamchatka Volcanic Arc	Shield(s)	Subduction zone / Continental crust (> 25 km)	Eruption Dated	1401	-5310	157.917	56.483
300450	Alney-Chashakondzha	Russia	Central Kamchatka Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Dated	2570	1600	159.647	56.656
